epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,265.208,1.65236,2.77094,1.53626,0.41798,0.33751,0.29043,0.12006,1.77592,4.51704,1.61325,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577
2,458.99,1.68921,1.9249,1.54118,0.55226,0.39816,0.42102,0.18784,1.68858,4.81002,1.52745,0.0197795,0.00659318,0.0197795,0.00659318,0.0197795,0.00659318,0.0197795,0.00659318
3,635.238,1.79738,1.95497,1.62039,0.37251,0.3493,0.28093,0.1116,1.89263,11.4023,1.78431,0.0293838,0.00979459,0.0293838,0.00979459,0.0293838,0.00979459,0.0293838,0.00979459
4,810.932,1.85276,2.02722,1.68346,0.38215,0.37223,0.29066,0.1188,1.93898,10.0272,1.84111,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,986.403,1.75846,1.88206,1.61878,0.42262,0.45613,0.39563,0.17611,1.69012,10.7491,1.56122,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1163.48,1.71418,1.78555,1.57794,0.5339,0.42975,0.44675,0.20515,1.62668,2.3875,1.46388,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1340.75,1.68402,1.72582,1.55712,0.56454,0.52127,0.52373,0.25443,1.49876,3.04275,1.40307,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1518.7,1.63655,1.64655,1.53358,0.60326,0.53597,0.56293,0.27691,1.51842,2.76445,1.37437,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1695.83,1.63418,1.60931,1.51529,0.61356,0.54709,0.56134,0.28223,1.4609,3.02827,1.36142,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1873.3,1.59242,1.53991,1.48572,0.60437,0.53451,0.5658,0.28946,1.46276,2.38062,1.34966,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2049.5,1.60225,1.54213,1.49058,0.61138,0.53741,0.58145,0.28818,1.48067,1.95042,1.35056,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2225.44,1.57982,1.50452,1.47652,0.66696,0.55412,0.62373,0.32975,1.39045,1.88451,1.29878,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2402.34,1.54923,1.46958,1.45449,0.65958,0.57278,0.62373,0.33215,1.40542,2.27331,1.30488,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2580.23,1.55549,1.46375,1.46295,0.67186,0.57653,0.63591,0.33283,1.40684,2.80222,1.29186,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2757.08,1.51375,1.39115,1.42282,0.65778,0.59981,0.63802,0.33961,1.38504,2.16215,1.28922,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2933.83,1.52187,1.40908,1.42821,0.6852,0.5863,0.64399,0.34302,1.40595,1.60827,1.2973,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3111.32,1.51937,1.40117,1.42997,0.67626,0.61872,0.65921,0.35278,1.35347,1.98583,1.2512,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3288.47,1.50456,1.37185,1.41428,0.67066,0.59699,0.63906,0.34371,1.37225,1.87481,1.29464,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3465.28,1.49365,1.36813,1.40713,0.68128,0.61168,0.66593,0.35825,1.35112,1.64627,1.26196,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
